Example No.,SMILES,pIC50 (FRET),pIC50 (SPA),pIC50 IL-17 release
30,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(C)(c2nnn(C)n2)C(F)(F)F)cc1,6.9,7.4,7.6
31,COC(=O)CC(F)(c1ccc(NC(=O)C2NCc3cc(S(C)(=O)=O)ccc32)cc1)C(F)(F)F,6.7,6.1,6.7
32,COC(=O)CC(F)(c1ccc(NC(=O)C2c3ccc(S(C)(=O)=O)cc3CN2C(C)=O)cc1)C(F)(F)F,7.3,7.6,7.8
33,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(CCO)(C(F)(F)F)C(F)(F)F)cc1,6.8,6.6,6.7
34,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(c2nc(C)no2)(C(F)(F)F)C(F)(F)F)cc1,6.9,7.7,7.7
35,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(CCF)(C(F)(F)F)C(F)(F)F)cc1,7.4,8,8.2
36,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(CC#N)(C(F)(F)F)C(F)(F)F)cc1,7,6.8,7.2
37,CCOC(=O)CC(c1ccc(NC(=O)C2c3ccc(S(C)(=O)=O)cc3CN2C(C)=O)cc1)(C(F)(F)F)C(F)(F)F,7,7.8,7.6
38,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(CC(=O)NC2CC2)(C(F)(F)F)C(F)(F)F)cc1,6.2,6.1,6
39,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(CC(=O)N2CC(C)(F)C2)(C(F)(F)F)C(F)(F)F)cc1,<4.5,6.4,—
40,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(CC(=O)OC(C)C)(C(F)(F)F)C(F)(F)F)cc1,<4.5,7.9,—
41,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(CC(=O)NCCF)(C(F)(F)F)C(F)(F)F)cc1,6.5,6.1,<5.5
42,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(CC(=O)N(C)C)(C(F)(F)F)C(F)(F)F)cc1,6.5,6.1,6.1
43,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(CC(=O)NC(C)(C)C)(C(F)(F)F)C(F)(F)F)cc1,6.8,6.1,6.6
44,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(CC(=O)OC(C)(C)C)(C(F)(F)F)C(F)(F)F)cc1,<4.5,7.8,—
45,CC(=O)NCCC(F)(c1ccc(NC(=O)C2c3ccc(S(C)(=O)=O)cc3CN2C(C)=O)cc1)C(F)(F)F,6.7,6.1,5.5
