Ex,D3_Ki_nM,5HT2a_Ki_nM,D2_Ki_nM,SMILES
48,1.79,11.42,88.19,O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)c1cccnc1
49,4.59,10.65,4818.65,O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)c1ccc2c(c1)OCCO2
50,0.87,6.41,572.43,O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C1COc2ccccc2C1
58,6.82,15.63,81.08,CC1(C(=O)N[C@H]2CC[C@H](CCN3CCN(c4cccc5c4OCO5)CC3)CC2)COC1
59,3.55,22.08,101.02,N#Cc1ccc(C(=O)N[C@H]2CC[C@H](CCN3CCN(c4cccc5c4OCO5)CC3)CC2)cc1
60,2.98,23.75,81.06,O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C1CC(Cl)C1
61,4.63,16.03,38.06,CN1CCN(CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4cccc5c4OCO5)CC3)CC2)CC1
62,14.27,6.27,86.54,COC1(C(=O)N[C@H]2CC[C@H](CCN3CCN(c4cccc5c4OCO5)CC3)CC2)CC1
63,27.44,11.13,116.62,COC(C)(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1
64,14.74,24.14,89.5,CO[C@H](C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C(C)C
65,19.9,42.11,111.52,CO[C@H](C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C(C)C
66,1.88,31.51,73.84,O=S(=O)(CC(F)(F)F)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1
67,2.88,64.1,72.43,O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)c1ccccc1
68,2.2,57.32,46.18,O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)c1ccc(F)cc1
69,2.25,67.97,55.32,Cn1cnc(S(=O)(=O)N[C@H]2CC[C@H](CCN3CCN(c4cccc5c4OCO5)CC3)CC2)c1
70,4.91,35.5,113.43,O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C(F)(F)F
71,2.01,28.75,241.28,O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)N1CCc2ccccc21
72,11.25,45.33,30.42,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1
73,1.83,31.29,123.11,O=C(CF)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1
74,2.44,24.97,116.67,O=C(C[C@H]1C[C@H](CO)C1)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1
75,1.04,58.75,157.94,O=C(Nc1ccc(Cl)cc1)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1
76,3.36,21.62,127.71,CN(C)S(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1
77,1.29,32.65,62.99,O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)N1CCOCC1
78,2.46,13.41,197.85,[C@@H]1(CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4cccc5c4OC([2H])([2H])O5)CC3)CC2)COCCO1
79,4.98,24.37,145.84,[2H]C1([2H])Oc2cccc(N3CCN(CC[C@H]4CC[C@H](NC(=O)COC)CC4)CC3)c2O1
80,2.23,16.68,105.31,[2H]C1([2H])Oc2cccc(N3CCN(CC[C@H]4CC[C@H](NC(=O)C(C)C)CC4)CC3)c2O1
81,6.28,5.03,97.16,[2H]C1([2H])Oc2cccc(N3CCN(CC[C@H]4CC[C@H](NC(=O)C(C)(C)O)CC4)CC3)c2O1
82,5.73,9.49,148.44,[2H]C1([2H])Oc2cccc(N3CCN(CC[C@H]4CC[C@H](NC(=O)[C@H](C)OC)CC4)CC3)c2O1
