Ej.,SMILES,TSER pIC50,TNE pIC50
17,Cc1ccc(OC(C2CCCC2)C2CCNC2)c(Cl)c1,≥8.0*,≥8.0*
19,Clc1cccc(Cl)c1O[C@@H](C1CCCCC1)[C@@H]1CCNC1,≥7.0,≥8.0
21,FC1(F)CCC(C(Oc2cc(Cl)cc(Cl)c2)C2CCNC2)CC1,n.d.,n.d.
24,C=CC[C@@H](Oc1cccc(Cl)c1C)[C@H]1CCNC1,≥8.0,≥8.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
