Ej.,SMILES,TSER pIC50,TNE pIC50
1,CC[C@H](Oc1ccc(Cl)cc1Cl)[C@H]1CCNC1,≥8.0,≥8.0
2月1日,,≥7.0,≥8.0
2月2日,,≥8.0,≥8.0
2月3日,,n.d.,n.d.
2月4日,,≥8.0*,≥7.0*
2月5日,,≥8.0,≥8.0
2月6日,,≥8.0*,≥7.0*
2月7日,,≥8.0,≥8.0
2月8日,,≥8.0*,≥7.0*
2月9日,,n.d.,n.d.
2月10日,,≥7.0*,≥8.0*
2月11日,,≥7.0*,≥8.0*
2月12日,,n.d.,n.d.
2月13日,,≥8.0,≥8.0
2月14日,,≥8.0*,≥7.0*
2月15日,,≥8.0*,≥7.0*
2月16日,,n.d.,n.d.
2月17日,,n.d.,n.d.
2月18日,,≥7.0,≥7.0
2月19日,,≥7.0,≥7.0
2月20日,,≥7.0*,≥7.0*
2月21日,,≥7.0,≥8.0
2月22日,,≥7.0,≥8.0
2月23日,,≥7.0,≥8.0
2月24日,,≥7.0*,≥7.0*
2月25日,,≥7.0,≥8.0
2月26日,,n.d.,n.d.
2月27日,,≥7.0,≥8.0
2月28日,,≥8.0,≥8.0
2-29,,≥8.0,≥8.0
2-30,,n.d.,n.d.
2-31,,≥8.0*,≥8.0*
2-32,,≥8.0,≥8.0
2-33,,n.d.,n.d.
2-34,,≥8.0*,≥7.0*
2-35,,≥8.0*,≥8.0*
2-36,,n.d.,n.d.
2-37,,≥7.0,≥8.0
2-38,,≥7.0,≥8.0
2-39,,≥7.0,≥8.0
2-40,,≥7.0,≥8.0
2-41,,≥7.0,≥8.0
2-42,,≥8.0,≥8.0
2-43,,≥7.0,≥8.0
2-44,,≥8.0,≥8.0
2-45,,≥8.0*,≥8.0*
2-46,,n.d.,n.d.
2-47,,≥7.0,≥8.0
2-48,,≥8.0,≥8.0
2-49,,n.d.,n.d.
2-50,,n.d.,n.d.
2-51,,≥8.0*,≥8.0*
2-52,,≥7.0,≥8.0
2-53,,n.d.,n.d.
2-54,,n.d.,n.d.
2-55,,≥7.0,≥8.0
2-56,,n.d.,n.d.
2-57,,≥7.0,≥7.0
2-58,,≥8.0,≥8.0
2-59,,n.d.,n.d.
2-60,,≥7.0,≥7.0
2-61,,n.d.,n.d.
2-62,,≥7.0,≥8.0
2-63,,n.d.,n.d.
2-64,,≥8.0*,≥8.0*
2-65,,≥8.0*,≥8.0*
2-66,,≥8.0,≥8.0
2-67,,n.d.,n.d.
2-68,,≥8.0,≥8.0
2-69,,≥7.0,≥7.0
2-70,,≥7.0,≥8.0
2-71,,≥7.0,≥8.0
2-72,,≥7.0,≥7.0
2-73,,n.d.,n.d.
2-74,,≥8.0*,≥7.0*
2-75,,≥7.0,≥8.0
3,CCC[C@H](Oc1cccc(Cl)c1Cl)[C@H]1CCNC1,≥8.0,≥8.0
4月1日,,≥8.0,≥8.0
4月2日,,≥8.0,≥7.0
4月3日,,n.d.,n.d.
4月4日,,n.d.,n.d.
4月5日,,≥7.0,≥8.0
4月6日,,≥8.0,≥8.0
4月7日,,≥8.0,≥8.0
4月8日,,n.d.,n.d.
4月9日,,≥8.0*,≥8.0*
4月10日,,≥7.0*,≥8.0*
4月11日,,≥7.0*,≥8.0*
4月12日,,≥8.0,≥8.0
4月13日,,≥8.0,≥8.0
4月14日,,≥8.0*,≥7.0*
4月15日,,≥8.0*,≥7.0*
4月16日,,≥8.0*,≥8.0*
4月17日,,≥8.0*,≥7.0*
4月18日,,≥8.0,≥8.0
4月19日,,≥7.0,≥8.0
4月20日,,≥7.0,≥8.0
4月21日,,n.d.,n.d.
4月22日,,n.d.,n.d.
4月23日,,≥8.0,≥8.0
4月24日,,n.d.,n.d.
4月25日,,≥8.0,≥8.0
4月26日,,≥8.0*,≥8.0*
4月27日,,≥8.0,≥8.0
4月28日,,≥8.0,≥8.0
4月29日,,n.d.,n.d.
4月30日,,n.d.,n.d.
4-31,,n.d.,n.d.
4-32,,≥8.0,≥8.0
4-33,,≥7.0,≥8.0
4-34,,n.d.,n.d.
4-35,,n.d.,n.d.
4-36,,n.d.,n.d.
4-37,,≥8.0,≥8.0
4-38,,n.d.,n.d.
4-39,,≥8.0*,≥8.0*
4-40,,≥8.0*,≥8.0*
4-41,,≥8.0*,≥8.0*
4-42,,≥8.0*,≥8.0*
4-43,,≥8.0,≥8.0
4-44,,≥7.0*,≥8.0*
4-45,,≥7.0*,≥8.0*
4-46,,≥7.0*,≥8.0*
4-47,,≥7.0*,≥8.0*
4-48,,≥7.0*,≥8.0*
4-49,,≥8.0*,≥7.0*
4-50,,≥7.0,≥8.0
4-51,,≥8.0*,≥8.0*
4-52,,≥8.0*,≥8.0*
4-53,,≥8.0*,≥8.0*
4-54,,≥8.0,≥8.0
4-55,,≥7.0,≥8.0
4-56,,n.d.,n.d.
4-57,,≥8.0,≥8.0
4-58,,≥8.0,≥8.0
4-59,,n.d.,n.d.
4-60,,n.d.,n.d.
4-61,,≥7.0*,≥7.0*
4-62,,≥8.0*,≥8.0*
4-63,,≥8.0,≥8.0
4-64,,n.d.,n.d.
4-65,,n.d.,n.d.
4-66,,n.d.,n.d.
4-67,,n.d.,n.d.
4-68,,n.d.,n.d.
4-69,,n.d.,n.d.
4-70,,n.d.,n.d.
4-71,,≥7.0*,≥7.0*
4-72,,≥8.0*,≥8.0*
5,CC(C)[C@H](Oc1ccc(Cl)cc1)[C@H]1CCNC1,≥8.0,≥8.0
6月1日,,n.d.,n.d.
6月2日,,n.d.,n.d.
6月3日,,≥7.0*,≥8.0*
6月4日,,≥8.0*,≥8.0*
6月5日,,≥8.0*,≥8.0*
6月6日,,≥7.0*,≥7.0*
6月7日,,≥8.0,≥8.0
6月8日,,≥8.0*,≥7.0*
6月9日,,≥8.0*,≥7.0*
6月10日,,≥8.0,≥8.0
6月11日,,≥7.0,≥8.0
6月12日,,≥8.0,≥8.0
6月13日,,≥8.0,≥8.0
6月14日,,≥8.0,≥8.0
6月15日,,≥8.0,≥8.0
6月16日,,≥7.0*,≥7.0*
6月17日,,≥8.0,≥8.0
6月18日,,≥7.0,≥8.0
6月19日,,≥8.0,≥7.0
6月20日,,≥7.0*,≥7.0*
6月21日,,≥8.0,≥8.0
6月22日,,n.d.,n.d.
